proto,service,duration,src_bytes,dst_bytes,conn_state,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,dns_query,dns_qclass,dns_qtype,dns_rcode,dns_AA,dns_RD,dns_RA,dns_rejected,ssl_version,ssl_cipher,ssl_resumed,ssl_established,ssl_subject,ssl_issuer,http_trans_depth,http_method,http_uri,http_version,http_request_body_len,http_response_body_len,http_status_code,http_user_agent,http_orig_mime_types,http_resp_mime_types,weird_name,weird_addl,weird_notice,label,mqtt_topic_len,mqtt_payload_len,mqtt_operation
1.0,6.0,0.00039,99.0,4.0,10.0,0.0,7.0,471.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,30.0,0.0,2.0
1.0,6.0,0.000388,99.0,4.0,10.0,0.0,7.0,471.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,30.0,0.0,2.0
1.0,6.0,0.000401,99.0,4.0,10.0,0.0,7.0,471.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,30.0,0.0,2.0
1.0,6.0,0.00037,93.0,4.0,10.0,0.0,7.0,465.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,24.0,0.0,2.0
1.0,0.0,2e-06,0.0,0.0,1.0,0.0,1.0,44.0,1.0,40.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,0.0,0.0,0.0
1.0,6.0,0.000447,552.0,4.0,10.0,0.0,7.0,924.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,19.0,0.0,2.0
1.0,0.0,1.1e-05,0.0,0.0,2.0,0.0,2.0,80.0,1.0,44.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,0.0,0.0,0.0
1.0,0.0,3e-06,0.0,0.0,1.0,0.0,1.0,44.0,1.0,40.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,0.0,0.0,0.0
1.0,6.0,0.000336,102.0,4.0,10.0,0.0,7.0,474.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,34.0,0.0,2.0
1.0,6.0,0.000492,99.0,4.0,10.0,0.0,7.0,471.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,30.0,0.0,2.0
1.0,6.0,0.000786,552.0,4.0,10.0,0.0,7.0,924.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,19.0,0.0,2.0
1.0,6.0,0.000652,552.0,4.0,10.0,0.0,7.0,924.0,5.0,272.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,85.0,1.0,0.0,0.0,0.0,33.0,2.0,6.0,9.0,2.0,0.0,1,19.0,0.0,2.0
